,day,hour,waves_size,wind_speed,wind_direction
106,Jeudi 15 Janvier,11:00,1.4 - 2.1,\n25\n\n,Orientation vent Sud Est
107,Jeudi 15 Janvier,12:00,1.4 - 2.1,\n25\n\n,Orientation vent Sud Est
108,Jeudi 15 Janvier,13:00,1.4 - 2.1,\n24\n\n,Orientation vent Sud Est
109,Jeudi 15 Janvier,14:00,1.4 - 2.1,\n25\n\n,Orientation vent Sud Est
110,Jeudi 15 Janvier,15:00,1.4 - 2.1,\n25\n\n,Orientation vent Sud Est
111,Jeudi 15 Janvier,16:00,1.4 - 2.1,\n26\n\n,Orientation vent Sud Est
112,Jeudi 15 Janvier,17:00,1.5 - 2.2,\n31\n\n,Orientation vent Sud
113,Jeudi 15 Janvier,18:00,1.5 - 2.3,\n38\n\n,Orientation vent Sud
114,Jeudi 15 Janvier,19:00,1.6 - 2.3,\n43\n\n,Orientation vent Sud Ouest
115,Jeudi 15 Janvier,20:00,1.6 - 2.4,\n42\n\n,Orientation vent Sud Ouest
116,Jeudi 15 Janvier,21:00,1.7 - 2.5,\n43\n\n,Orientation vent Ouest Sud Ouest
117,Jeudi 15 Janvier,22:00,1.7 - 2.6,\n45\n\n,Orientation vent Ouest Sud Ouest
118,Jeudi 15 Janvier,23:00,1.8 - 2.8,\n41\n\n,Orientation vent Ouest Sud Ouest
119,Vendredi 16 Janvier,00:00,1.9 - 2.9,\n32\n\n,Orientation vent Ouest Sud Ouest
120,Vendredi 16 Janvier,01:00,2.0 - 3.1,\n25\n\n,Orientation vent Ouest Sud Ouest
121,Vendredi 16 Janvier,02:00,2.2 - 3.3,\n25\n\n,Orientation vent Ouest Sud Ouest
122,Vendredi 16 Janvier,03:00,2.4 - 3.6,\n28\n\n,Orientation vent Ouest Sud Ouest
123,Vendredi 16 Janvier,04:00,2.5 - 3.8,\n30\n\n,Orientation vent Ouest Sud Ouest
124,Vendredi 16 Janvier,05:00,2.6 - 3.9,\n28\n\n,Orientation vent Ouest Sud Ouest
125,Vendredi 16 Janvier,06:00,2.7 - 4.0,\n25\n\n,Orientation vent Ouest Sud Ouest
126,Vendredi 16 Janvier,07:00,2.7 - 4.1,\n23\n\n,Orientation vent Ouest Sud Ouest
127,Vendredi 16 Janvier,08:00,2.8 - 4.1,\n22\n\n,Orientation vent Ouest Sud Ouest
128,Vendredi 16 Janvier,09:00,2.8 - 4.1,\n22\n\n,Orientation vent Ouest Sud Ouest
129,Vendredi 16 Janvier,10:00,2.8 - 4.2,\n22\n\n,Orientation vent Ouest Sud Ouest
130,Vendredi 16 Janvier,11:00,2.8 - 4.1,\n23\n\n,Orientation vent Ouest Sud Ouest
131,Vendredi 16 Janvier,12:00,2.8 - 4.1,\n24\n\n,Orientation vent Ouest Sud Ouest
132,Vendredi 16 Janvier,13:00,2.7 - 4.1,\n26\n\n,Orientation vent Ouest Sud Ouest
133,Vendredi 16 Janvier,14:00,2.7 - 4.1,\n27\n\n,Orientation vent Ouest Sud Ouest
134,Vendredi 16 Janvier,15:00,2.7 - 4.1,\n27\n\n,Orientation vent Sud Ouest
135,Vendredi 16 Janvier,16:00,2.7 - 4.1,\n29\n\n,Orientation vent Sud Ouest
136,Vendredi 16 Janvier,17:00,2.7 - 4.1,\n33\n\n,Orientation vent Sud Ouest
137,Vendredi 16 Janvier,18:00,2.7 - 4.1,\n38\n\n,Orientation vent Sud Ouest
138,Vendredi 16 Janvier,19:00,2.7 - 4.1,\n39\n\n,Orientation vent Sud Ouest
139,Vendredi 16 Janvier,20:00,2.7 - 4.1,\n32\n\n,Orientation vent Sud Ouest
140,Vendredi 16 Janvier,21:00,2.7 - 4.1,\n21\n\n,Orientation vent Ouest Sud Ouest
141,Vendredi 16 Janvier,22:00,2.8 - 4.1,\n14\n\n,Orientation vent Ouest
142,Vendredi 16 Janvier,23:00,2.8 - 4.2,\n14\n\n,Orientation vent Ouest Nord Ouest
143,Samedi 17 Janvier,00:00,2.8 - 4.2,\n16\n\n,Orientation vent Ouest Nord Ouest
144,Samedi 17 Janvier,01:00,2.8 - 4.3,\n17\n\n,Orientation vent Ouest Nord Ouest
145,Samedi 17 Janvier,02:00,2.9 - 4.3,\n17\n\n,Orientation vent Ouest Nord Ouest
146,Samedi 17 Janvier,03:00,2.9 - 4.3,\n17\n\n,Orientation vent Ouest Nord Ouest
147,Samedi 17 Janvier,04:00,2.9 - 4.4,\n16\n\n,Orientation vent Ouest Nord Ouest
148,Samedi 17 Janvier,05:00,2.9 - 4.4,\n16\n\n,Orientation vent Ouest
149,Samedi 17 Janvier,06:00,3.0 - 4.5,\n16\n\n,Orientation vent Ouest
150,Samedi 17 Janvier,07:00,3.0 - 4.5,\n16\n\n,Orientation vent Ouest Sud Ouest
151,Samedi 17 Janvier,08:00,3.0 - 4.5,\n17\n\n,Orientation vent Ouest Sud Ouest
152,Samedi 17 Janvier,09:00,3.0 - 4.5,\n18\n\n,Orientation vent Ouest Sud Ouest
153,Samedi 17 Janvier,10:00,3.0 - 4.5,\n20\n\n,Orientation vent Sud Ouest
154,Samedi 17 Janvier,11:00,3.0 - 4.5,\n22\n\n,Orientation vent Sud Ouest
155,Samedi 17 Janvier,12:00,3.0 - 4.5,\n24\n\n,Orientation vent Sud Ouest
156,Samedi 17 Janvier,13:00,3.0 - 4.5,\n26\n\n,Orientation vent Sud Ouest
157,Samedi 17 Janvier,14:00,3.0 - 4.5,\n27\n\n,Orientation vent Sud Ouest
158,Samedi 17 Janvier,15:00,2.9 - 4.4,\n28\n\n,Orientation vent Sud Ouest
159,Samedi 17 Janvier,16:00,2.9 - 4.4,\n29\n\n,Orientation vent Sud Ouest
160,Samedi 17 Janvier,17:00,2.9 - 4.3,\n29\n\n,Orientation vent Sud Ouest
161,Samedi 17 Janvier,18:00,2.9 - 4.3,\n30\n\n,Orientation vent Sud Ouest
162,Samedi 17 Janvier,19:00,2.8 - 4.2,\n30\n\n,Orientation vent Sud Ouest
